"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","Arduino_UNO_R3","Module:Arduino_UNO_R3",""
"2","C1","1","C_Ceramico 10pF/50V","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"3","C2","1","C_Eletrolitico 10uF/25V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"4","C3","1","C_Ceramico 100pF/50V","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"5","C4","1","C_Eletrolitico 100uF/25V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"6","D1","1","RL207 2A","Diode_THT:D_DO-27_P5.08mm_Vertical_AnodeUp",""
"7","D2, D3, D4","3","IN4007 1A","Diode_THT:D_DO-15_P3.81mm_Vertical_AnodeUp",""
"8","F1","1","Fuse T1A 1A","Fuse:Fuse_Littelfuse_372_D8.50mm",""
"9","J1","1","Conn_01x03_Socket","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",""
"10","J2, J3, J4, J5, J7, J9, J10, J11","8","Conn_01x02_Socket","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical",""
"11","J6","1","Conn_01x04_Socket","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical",""
"12","J12, J13","2","Conn_01x02_Socket","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical",""
"13","L1","1","Indutor 330K 0,1 Ohms","Inductor_THT:L_Radial_D7.8mm_P5.00mm_Fastron_07HCP",""
"14","R1, R2, R3, R4, R5, R7, R8, R9","8","5k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",""
"15","SW1","1","SW_MEC_5E","Chave_Tactil:Tactil_6mm",""
"16","U1","1","L7809","Package_TO_SOT_THT:TO-126-3_Vertical",""
